Year,Date,Opponent,Score,Result,Location,stadium
2016,2016-12-11,BUF,27-20,L,Away,New Era Field
2016,2016-12-18,CIN,24-20,L,Away,Paul Brown Stadium
2016,2016-12-25,BAL,31-27,W,Home,Heinz Field
2016,2017-01-01,CLE,27-24,W,Home,Heinz Field
2016,2017-01-08,MIA,30-12,W,Home,Heinz Field
2016,2017-01-15,KC,18-16,L,Away,Arrowhead Stadium
2016,2017-01-22,NE,17-36,W,Away,Gillette Stadium
2017,2017-09-10,CLE,21-18,L,Away,FirstEnergy Stadium
2017,2017-09-17,MIN,26-9,W,Home,Heinz Field
2017,2017-09-24,CHI,17-23,W,Away,Soldier Field
2017,2017-10-01,BAL,26-9,L,Away,M&T Bank Stadium
2017,2017-10-08,JAX,9-30,L,Home,Heinz Field
2017,2017-10-15,KC,19-13,L,Away,Arrowhead Stadium
2017,2017-10-22,CIN,29-14,W,Home,Heinz Field
2017,2017-10-29,DET,20-15,L,Away,Ford Field
2017,2017-11-12,IND,20-17,L,Away,Lucas Oil Stadium
2017,2017-11-16,TEN,40-17,W,Home,Heinz Field
2017,2017-11-26,GB,31-28,W,Home,Heinz Field
2017,2017-12-04,CIN,23-20,L,Away,Paul Brown Stadium
2017,2017-12-10,BAL,39-38,W,Home,Heinz Field
2017,2017-12-17,NE,24-27,L,Home,Heinz Field
2017,2017-12-25,HOU,34-6,L,Away,NRG Stadium
2017,2017-12-31,CLE,28-24,W,Home,Heinz Field
2017,2018-01-14,JAX,42-45,L,Home,Heinz Field
2018,2018-09-09,CLE,21-21,T,Away,FirstEnergy Stadium
2018,2018-09-16,KC,37-42,L,Home,Heinz Field
2018,2018-09-24,TB,30-27,L,Away,Raymond James Stadium
2018,2018-09-30,BAL,14-26,L,Home,Heinz Field
2018,2018-10-07,ATL,41-17,W,Home,Heinz Field
2018,2018-10-14,CIN,28-21,L,Away,Paul Brown Stadium
2018,2018-10-28,CLE,33-18,W,Home,Heinz Field
2018,2018-11-04,BAL,23-16,L,Away,M&T Bank Stadium
2018,2018-11-08,CAR,52-21,W,Home,Heinz Field
2018,2018-11-18,JAX,20-16,L,Away,TIAA Bank Stadium
2018,2018-11-25,DEN,17-24,W,Away,Sports Authority Field at Mile High
2018,2018-12-02,LAC,30-33,L,Home,Heinz Field
2018,2018-12-09,OAK,21-24,W,Away,Oakland-Alameda County Coliseum
2018,2018-12-16,NE,17-10,W,Home,Heinz Field
2018,2018-12-23,NO,28-31,W,Away,Mercedes-Benz Superdome
2018,2018-12-30,CIN,16-13,W,Home,Heinz Field
2019,2019-09-08,NE,3-33,W,Away,Gillette Stadium
2019,2019-09-15,SEA,26-28,L,Home,Heinz Field
2019,2019-09-22,SF,20-24,W,Away,Levi's Stadium
2019,2019-09-30,CIN,27-3,W,Home,Heinz Field
2019,2019-10-06,BAL,23-26,L,Home,Heinz Field
